LA_Code,LA,Income,Employment,Education_Skills_Training,Health_Disability,Crime,Housing_Services,Living_Environment,Homeless_Rate,ALL_Empty_Percent,LT_Empty_Percent
E09000002,Barking and Dagenham,0.2,0.2,27.2,0.4,0.9,37.6,26.5,13,1.58,0.28
E09000003,Barnet,0.1,0.1,8.5,-0.7,0.4,31,23.9,3,1.82,0.86
E09000004,Bexley,0.1,0.1,18.3,-0.6,0.1,23.6,14.3,5,1.22,0.41
E09000005,Brent,0.2,0.1,16.4,-0.2,0.6,38.1,29.3,6,0.93,0.35
E09000006,Bromley,0.1,0.1,11.5,-0.8,0.3,24.9,16,4,2.01,0.51
E09000007,Camden,0.2,0.1,11.3,0,0.5,22.5,47.7,1,2.57,1.12
E09000001,City of London,0.1,0,4.1,-0.9,-1.2,30.7,48.3,6,1.38,0.71
E09000008,Croydon,0.2,0.1,15.7,-0.1,0.6,31.7,24.1,7,2.05,0.67
E09000009,Ealing,0.2,0.1,13.2,-0.1,0.6,31.7,28.4,5,2.46,0.51
E09000010,Enfield,0.2,0.1,20.7,-0.3,0.6,32,25,9,1.54,0.66
E09000011,Greenwich,0.2,0.1,16.8,0.2,0.6,27.9,24.8,4,1.68,0.47
E09000012,Hackney,0.2,0.1,17.2,0.5,0.9,37.1,44.2,9,2.12,0.97
E09000013,Hammersmith and Fulham,0.2,0.1,9.1,0.2,0.5,25,44,5,0.97,0.31
E09000014,Haringey,0.2,0.1,18.5,0.1,0.8,34.6,38.2,5,2.25,0.8
E09000015,Harrow,0.1,0.1,8.9,-0.8,0.1,25.3,15.6,6,0.93,0.11
E09000016,Havering,0.1,0.1,23.1,-0.4,0.3,19.9,13.4,4,1.35,0.5
E09000017,Hillingdon,0.1,0.1,16.8,-0.2,0.4,23.9,16.9,3,1.3,0.43
E09000018,Hounslow,0.1,0.1,14.8,-0.2,0.5,36.9,26.6,5,1.11,0.41
E09000019,Islington,0.2,0.1,14.6,0.5,0.9,30.4,43.8,4,2.96,0.95
E09000020,Kensington and Chelsea,0.1,0.1,6.1,-0.9,0.4,31.9,55,7,2.48,1.49
E09000021,Kingston upon Thames,0.1,0.1,7.4,-1.1,-0.2,22.3,25.9,3,1.82,0.27
E09000022,Lambeth,0.2,0.1,11.5,0.2,1,29.8,43.4,4,1.45,0.84
E09000023,Lewisham,0.2,0.1,15,0.2,0.8,30.4,36,6,1.74,0.59
E09000024,Merton,0.1,0.1,10.4,-0.6,0.2,19.6,27.5,2,1.51,0.62
E09000025,Newham,0.2,0.1,20.8,0.3,1,41.9,33.7,12,1.86,1.21
E09000026,Redbridge,0.2,0.1,11.9,-0.4,0.6,29.2,23.5,5,1.26,0.26
E09000027,Richmond upon Thames,0.1,0.1,4,-1.4,0.1,19.8,28,3,1.36,0.44
E09000028,Southwark,0.2,0.1,13.3,0.3,0.9,30.8,41.1,7,3.64,0.72
E09000029,Sutton,0.1,0.1,12.6,-0.5,0.2,19.8,19.1,4,2.21,0.68
E09000030,Tower Hamlets,0.3,0.1,18.8,0.5,0.8,37.7,39.8,5,1.66,0.6
E09000031,Waltham Forest,0.2,0.1,18.7,0.1,0.9,38.4,35.4,10,1.14,0.42
E09000032,Wandsworth,0.1,0.1,7.3,-0.3,0.4,24.6,38.2,6,0.94,0.19
E09000033,Westminster,0.2,0.1,8.8,-0.3,0.4,35.1,54.8,5,1.04,0.47