DCLG,ONS,New_ONS,Local_Authority.Name,Total,Year
K5030,00AA,E09000001,City of London,119,2004
Z5060,00AB,E09000002,Barking and Dagenham,434,2004
N5090,00AC,E09000003,Barnet,1654,2004
D5120,00AD,E09000004,Bexley,898,2004
T5150,00AE,E09000005,Brent,1294,2004
G5180,00AF,E09000006,Bromley,1506,2004
X5210,00AG,E09000007,Camden,1503,2004
L5240,00AH,E09000008,Croydon,2978,2004
A5270,00AJ,E09000009,Ealing,1215,2004
Q5300,00AK,E09000010,Enfield,2848,2004
E5330,00AL,E09000011,Greenwich,1314,2004
U5360,00AM,E09000012,Hackney,2269,2004
H5390,00AN,E09000013,Hammersmith and Fulham,1435,2004
Y5420,00AP,E09000014,Haringey,1094,2004
M5450,00AQ,E09000015,Harrow,405,2004
B5480,00AR,E09000016,Havering,1076,2004
R5510,00AS,E09000017,Hillingdon,782,2004
F5540,00AT,E09000018,Hounslow,994,2004
V5570,00AU,E09000019,Islington,1233,2004
K5600,00AW,E09000020,Kensington and Chelsea,1255,2004
Z5630,00AX,E09000021,Kingston upon Thames,1534,2004
N5660,00AY,E09000022,Lambeth,1958,2004
C5690,00AZ,E09000023,Lewisham,0,2004
T5720,00BA,E09000024,Merton,449,2004
G5750,00BB,E09000025,Newham,1331,2004
W5780,00BC,E09000026,Redbridge,491,2004
L5810,00BD,E09000027,Richmond upon Thames,621,2004
A5840,00BE,E09000028,Southwark,2192,2004
P5870,00BF,E09000029,Sutton,1230,2004
E5900,00BG,E09000030,Tower Hamlets,394,2004
U5930,00BH,E09000031,Waltham Forest,945,2004
H5960,00BJ,E09000032,Wandsworth,3039,2004
X5990,00BK,E09000033,Westminster,2110,2004
K5030,00AA,E09000001,City of London,86,2005
Z5060,00AB,E09000002,Barking and Dagenham,513,2005
N5090,00AC,E09000003,Barnet,1805,2005
D5120,00AD,E09000004,Bexley,932,2005
T5150,00AE,E09000005,Brent,1231,2005
G5180,00AF,E09000006,Bromley,1437,2005
X5210,00AG,E09000007,Camden,1338,2005
L5240,00AH,E09000008,Croydon,2049,2005
A5270,00AJ,E09000009,Ealing,1179,2005
Q5300,00AK,E09000010,Enfield,2661,2005
E5330,00AL,E09000011,Greenwich,1362,2005
U5360,00AM,E09000012,Hackney,2639,2005
H5390,00AN,E09000013,Hammersmith and Fulham,1060,2005
Y5420,00AP,E09000014,Haringey,692,2005
M5450,00AQ,E09000015,Harrow,352,2005
B5480,00AR,E09000016,Havering,1064,2005
R5510,00AS,E09000017,Hillingdon,846,2005
F5540,00AT,E09000018,Hounslow,740,2005
V5570,00AU,E09000019,Islington,1019,2005
K5600,00AW,E09000020,Kensington and Chelsea,1224,2005
Z5630,00AX,E09000021,Kingston upon Thames,976,2005
N5660,00AY,E09000022,Lambeth,1642,2005
C5690,00AZ,E09000023,Lewisham,0,2005
T5720,00BA,E09000024,Merton,995,2005
G5750,00BB,E09000025,Newham,1670,2005
W5780,00BC,E09000026,Redbridge,959,2005
L5810,00BD,E09000027,Richmond upon Thames,567,2005
A5840,00BE,E09000028,Southwark,1094,2005
P5870,00BF,E09000029,Sutton,1279,2005
E5900,00BG,E09000030,Tower Hamlets,698,2005
U5930,00BH,E09000031,Waltham Forest,895,2005
H5960,00BJ,E09000032,Wandsworth,3044,2005
X5990,00BK,E09000033,Westminster,2033,2005
K5030,00AA,E09000001,City of London,55,2006
Z5060,00AB,E09000002,Barking and Dagenham,893,2006
N5090,00AC,E09000003,Barnet,1604,2006
D5120,00AD,E09000004,Bexley,823,2006
T5150,00AE,E09000005,Brent,1214,2006
G5180,00AF,E09000006,Bromley,1253,2006
X5210,00AG,E09000007,Camden,1056,2006
L5240,00AH,E09000008,Croydon,2721,2006
A5270,00AJ,E09000009,Ealing,1091,2006
Q5300,00AK,E09000010,Enfield,3028,2006
E5330,00AL,E09000011,Greenwich,1510,2006
U5360,00AM,E09000012,Hackney,2441,2006
H5390,00AN,E09000013,Hammersmith and Fulham,854,2006
Y5420,00AP,E09000014,Haringey,535,2006
M5450,00AQ,E09000015,Harrow,370,2006
B5480,00AR,E09000016,Havering,1145,2006
R5510,00AS,E09000017,Hillingdon,804,2006
F5540,00AT,E09000018,Hounslow,545,2006
V5570,00AU,E09000019,Islington,1057,2006
K5600,00AW,E09000020,Kensington and Chelsea,1140,2006
Z5630,00AX,E09000021,Kingston upon Thames,1059,2006
N5660,00AY,E09000022,Lambeth,2807,2006
C5690,00AZ,E09000023,Lewisham,0,2006
T5720,00BA,E09000024,Merton,971,2006
G5750,00BB,E09000025,Newham,2070,2006
W5780,00BC,E09000026,Redbridge,1275,2006
L5810,00BD,E09000027,Richmond upon Thames,687,2006
A5840,00BE,E09000028,Southwark,1192,2006
P5870,00BF,E09000029,Sutton,1238,2006
E5900,00BG,E09000030,Tower Hamlets,940,2006
U5930,00BH,E09000031,Waltham Forest,832,2006
H5960,00BJ,E09000032,Wandsworth,953,2006
X5990,00BK,E09000033,Westminster,1979,2006
K5030,00AA,E09000001,City of London,54,2007
Z5060,00AB,E09000002,Barking and Dagenham,1181,2007
N5090,00AC,E09000003,Barnet,1576,2007
D5120,00AD,E09000004,Bexley,911,2007
T5150,00AE,E09000005,Brent,1162,2007
G5180,00AF,E09000006,Bromley,1138,2007
X5210,00AG,E09000007,Camden,1079,2007
L5240,00AH,E09000008,Croydon,1822,2007
A5270,00AJ,E09000009,Ealing,1131,2007
Q5300,00AK,E09000010,Enfield,1551,2007
E5330,00AL,E09000011,Greenwich,1406,2007
U5360,00AM,E09000012,Hackney,2477,2007
H5390,00AN,E09000013,Hammersmith and Fulham,793,2007
Y5420,00AP,E09000014,Haringey,581,2007
M5450,00AQ,E09000015,Harrow,289,2007
B5480,00AR,E09000016,Havering,1221,2007
R5510,00AS,E09000017,Hillingdon,746,2007
F5540,00AT,E09000018,Hounslow,442,2007
V5570,00AU,E09000019,Islington,1171,2007
K5600,00AW,E09000020,Kensington and Chelsea,1306,2007
Z5630,00AX,E09000021,Kingston upon Thames,991,2007
N5660,00AY,E09000022,Lambeth,1851,2007
C5690,00AZ,E09000023,Lewisham,503,2007
T5720,00BA,E09000024,Merton,306,2007
G5750,00BB,E09000025,Newham,1927,2007
W5780,00BC,E09000026,Redbridge,1379,2007
L5810,00BD,E09000027,Richmond upon Thames,717,2007
A5840,00BE,E09000028,Southwark,922,2007
P5870,00BF,E09000029,Sutton,1103,2007
E5900,00BG,E09000030,Tower Hamlets,996,2007
U5930,00BH,E09000031,Waltham Forest,963,2007
H5960,00BJ,E09000032,Wandsworth,894,2007
X5990,00BK,E09000033,Westminster,1945,2007
K5030,00AA,E09000001,City of London,47,2008
Z5060,00AB,E09000002,Barking and Dagenham,750,2008
N5090,00AC,E09000003,Barnet,1704,2008
D5120,00AD,E09000004,Bexley,756,2008
T5150,00AE,E09000005,Brent,830,2008
G5180,00AF,E09000006,Bromley,1047,2008
X5210,00AG,E09000007,Camden,1125,2008
L5240,00AH,E09000008,Croydon,1640,2008
A5270,00AJ,E09000009,Ealing,1144,2008
Q5300,00AK,E09000010,Enfield,905,2008
E5330,00AL,E09000011,Greenwich,1466,2008
U5360,00AM,E09000012,Hackney,2467,2008
H5390,00AN,E09000013,Hammersmith and Fulham,982,2008
Y5420,00AP,E09000014,Haringey,637,2008
M5450,00AQ,E09000015,Harrow,286,2008
B5480,00AR,E09000016,Havering,1202,2008
R5510,00AS,E09000017,Hillingdon,704,2008
F5540,00AT,E09000018,Hounslow,359,2008
V5570,00AU,E09000019,Islington,1095,2008
K5600,00AW,E09000020,Kensington and Chelsea,1527,2008
Z5630,00AX,E09000021,Kingston upon Thames,930,2008
N5660,00AY,E09000022,Lambeth,2016,2008
C5690,00AZ,E09000023,Lewisham,762,2008
T5720,00BA,E09000024,Merton,505,2008
G5750,00BB,E09000025,Newham,2084,2008
W5780,00BC,E09000026,Redbridge,885,2008
L5810,00BD,E09000027,Richmond upon Thames,662,2008
A5840,00BE,E09000028,Southwark,1113,2008
P5870,00BF,E09000029,Sutton,1307,2008
E5900,00BG,E09000030,Tower Hamlets,1176,2008
U5930,00BH,E09000031,Waltham Forest,914,2008
H5960,00BJ,E09000032,Wandsworth,737,2008
X5990,00BK,E09000033,Westminster,2483,2008
K5030,00AA,E09000001,City of London,24,2009
Z5060,00AB,E09000002,Barking and Dagenham,627,2009
N5090,00AC,E09000003,Barnet,1719,2009
D5120,00AD,E09000004,Bexley,755,2009
T5150,00AE,E09000005,Brent,733,2009
G5180,00AF,E09000006,Bromley,1002,2009
X5210,00AG,E09000007,Camden,1207,2009
L5240,00AH,E09000008,Croydon,1635,2009
A5270,00AJ,E09000009,Ealing,1194,2009
Q5300,00AK,E09000010,Enfield,894,2009
E5330,00AL,E09000011,Greenwich,1349,2009
U5360,00AM,E09000012,Hackney,2747,2009
H5390,00AN,E09000013,Hammersmith and Fulham,818,2009
Y5420,00AP,E09000014,Haringey,771,2009
M5450,00AQ,E09000015,Harrow,304,2009
B5480,00AR,E09000016,Havering,1269,2009
R5510,00AS,E09000017,Hillingdon,756,2009
F5540,00AT,E09000018,Hounslow,485,2009
V5570,00AU,E09000019,Islington,1396,2009
K5600,00AW,E09000020,Kensington and Chelsea,1330,2009
Z5630,00AX,E09000021,Kingston upon Thames,1228,2009
N5660,00AY,E09000022,Lambeth,1884,2009
C5690,00AZ,E09000023,Lewisham,801,2009
T5720,00BA,E09000024,Merton,527,2009
G5750,00BB,E09000025,Newham,1945,2009
W5780,00BC,E09000026,Redbridge,985,2009
L5810,00BD,E09000027,Richmond upon Thames,452,2009
A5840,00BE,E09000028,Southwark,1267,2009
P5870,00BF,E09000029,Sutton,1174,2009
E5900,00BG,E09000030,Tower Hamlets,1371,2009
U5930,00BH,E09000031,Waltham Forest,837,2009
H5960,00BJ,E09000032,Wandsworth,704,2009
X5990,00BK,E09000033,Westminster,2455,2009
K5030,00AA,E09000001,City of London,23,2010
Z5060,00AB,E09000002,Barking and Dagenham,557,2010
N5090,00AC,E09000003,Barnet,1525,2010
D5120,00AD,E09000004,Bexley,670,2010
T5150,00AE,E09000005,Brent,595,2010
G5180,00AF,E09000006,Bromley,922,2010
X5210,00AG,E09000007,Camden,1163,2010
L5240,00AH,E09000008,Croydon,1476,2010
A5270,00AJ,E09000009,Ealing,938,2010
Q5300,00AK,E09000010,Enfield,1015,2010
E5330,00AL,E09000011,Greenwich,1341,2010
U5360,00AM,E09000012,Hackney,2111,2010
H5390,00AN,E09000013,Hammersmith and Fulham,871,2010
Y5420,00AP,E09000014,Haringey,742,2010
M5450,00AQ,E09000015,Harrow,251,2010
B5480,00AR,E09000016,Havering,1123,2010
R5510,00AS,E09000017,Hillingdon,809,2010
F5540,00AT,E09000018,Hounslow,508,2010
V5570,00AU,E09000019,Islington,1077,2010
K5600,00AW,E09000020,Kensington and Chelsea,1104,2010
Z5630,00AX,E09000021,Kingston upon Thames,1125,2010
N5660,00AY,E09000022,Lambeth,2226,2010
C5690,00AZ,E09000023,Lewisham,942,2010
T5720,00BA,E09000024,Merton,527,2010
G5750,00BB,E09000025,Newham,1445,2010
W5780,00BC,E09000026,Redbridge,813,2010
L5810,00BD,E09000027,Richmond upon Thames,335,2010
A5840,00BE,E09000028,Southwark,1628,2010
P5870,00BF,E09000029,Sutton,1006,2010
E5900,00BG,E09000030,Tower Hamlets,1623,2010
U5930,00BH,E09000031,Waltham Forest,775,2010
H5960,00BJ,E09000032,Wandsworth,657,2010
X5990,00BK,E09000033,Westminster,2499,2010
K5030,00AA,E09000001,City of London,45,2011
Z5060,00AB,E09000002,Barking and Dagenham,468,2011
N5090,00AC,E09000003,Barnet,1390,2011
D5120,00AD,E09000004,Bexley,779,2011
T5150,00AE,E09000005,Brent,629,2011
G5180,00AF,E09000006,Bromley,840,2011
X5210,00AG,E09000007,Camden,1053,2011
L5240,00AH,E09000008,Croydon,1321,2011
A5270,00AJ,E09000009,Ealing,656,2011
Q5300,00AK,E09000010,Enfield,1057,2011
E5330,00AL,E09000011,Greenwich,1620,2011
U5360,00AM,E09000012,Hackney,2023,2011
H5390,00AN,E09000013,Hammersmith and Fulham,757,2011
Y5420,00AP,E09000014,Haringey,649,2011
M5450,00AQ,E09000015,Harrow,210,2011
B5480,00AR,E09000016,Havering,996,2011
R5510,00AS,E09000017,Hillingdon,574,2011
F5540,00AT,E09000018,Hounslow,19,2011
V5570,00AU,E09000019,Islington,944,2011
K5600,00AW,E09000020,Kensington and Chelsea,1107,2011
Z5630,00AX,E09000021,Kingston upon Thames,673,2011
N5660,00AY,E09000022,Lambeth,1676,2011
C5690,00AZ,E09000023,Lewisham,940,2011
T5720,00BA,E09000024,Merton,538,2011
G5750,00BB,E09000025,Newham,1252,2011
W5780,00BC,E09000026,Redbridge,693,2011
L5810,00BD,E09000027,Richmond upon Thames,387,2011
A5840,00BE,E09000028,Southwark,1157,2011
P5870,00BF,E09000029,Sutton,817,2011
E5900,00BG,E09000030,Tower Hamlets,939,2011
U5930,00BH,E09000031,Waltham Forest,670,2011
H5960,00BJ,E09000032,Wandsworth,549,2011
X5990,00BK,E09000033,Westminster,1869,2011
K5030,00AA,E09000001,City of London,33,2012
Z5060,00AB,E09000002,Barking and Dagenham,295,2012
N5090,00AC,E09000003,Barnet,1095,2012
D5120,00AD,E09000004,Bexley,473,2012
T5150,00AE,E09000005,Brent,610,2012
G5180,00AF,E09000006,Bromley,728,2012
X5210,00AG,E09000007,Camden,964,2012
L5240,00AH,E09000008,Croydon,1362,2012
A5270,00AJ,E09000009,Ealing,375,2012
Q5300,00AK,E09000010,Enfield,764,2012
E5330,00AL,E09000011,Greenwich,770,2012
U5360,00AM,E09000012,Hackney,1149,2012
H5390,00AN,E09000013,Hammersmith and Fulham,747,2012
Y5420,00AP,E09000014,Haringey,828,2012
M5450,00AQ,E09000015,Harrow,166,2012
B5480,00AR,E09000016,Havering,948,2012
R5510,00AS,E09000017,Hillingdon,465,2012
F5540,00AT,E09000018,Hounslow,17,2012
V5570,00AU,E09000019,Islington,618,2012
K5600,00AW,E09000020,Kensington and Chelsea,1215,2012
Z5630,00AX,E09000021,Kingston upon Thames,390,2012
N5660,00AY,E09000022,Lambeth,1397,2012
C5690,00AZ,E09000023,Lewisham,742,2012
T5720,00BA,E09000024,Merton,497,2012
G5750,00BB,E09000025,Newham,982,2012
W5780,00BC,E09000026,Redbridge,549,2012
L5810,00BD,E09000027,Richmond upon Thames,412,2012
A5840,00BE,E09000028,Southwark,829,2012
P5870,00BF,E09000029,Sutton,837,2012
E5900,00BG,E09000030,Tower Hamlets,806,2012
U5930,00BH,E09000031,Waltham Forest,604,2012
H5960,00BJ,E09000032,Wandsworth,532,2012
X5990,00BK,E09000033,Westminster,1671,2012
K5030,00AA,E09000001,City of London,47,2013
Z5060,00AB,E09000002,Barking and Dagenham,242,2013
N5090,00AC,E09000003,Barnet,1136,2013
D5120,00AD,E09000004,Bexley,527,2013
T5150,00AE,E09000005,Brent,567,2013
G5180,00AF,E09000006,Bromley,709,2013
X5210,00AG,E09000007,Camden,1286,2013
L5240,00AH,E09000008,Croydon,294,2013
A5270,00AJ,E09000009,Ealing,342,2013
Q5300,00AK,E09000010,Enfield,847,2013
E5330,00AL,E09000011,Greenwich,523,2013
U5360,00AM,E09000012,Hackney,1032,2013
H5390,00AN,E09000013,Hammersmith and Fulham,268,2013
Y5420,00AP,E09000014,Haringey,542,2013
M5450,00AQ,E09000015,Harrow,356,2013
B5480,00AR,E09000016,Havering,816,2013
R5510,00AS,E09000017,Hillingdon,556,2013
F5540,00AT,E09000018,Hounslow,300,2013
V5570,00AU,E09000019,Islington,382,2013
K5600,00AW,E09000020,Kensington and Chelsea,1521,2013
Z5630,00AX,E09000021,Kingston upon Thames,296,2013
N5660,00AY,E09000022,Lambeth,1329,2013
C5690,00AZ,E09000023,Lewisham,737,2013
T5720,00BA,E09000024,Merton,562,2013
G5750,00BB,E09000025,Newham,939,2013
W5780,00BC,E09000026,Redbridge,487,2013
L5810,00BD,E09000027,Richmond upon Thames,482,2013
A5840,00BE,E09000028,Southwark,833,2013
P5870,00BF,E09000029,Sutton,764,2013
E5900,00BG,E09000030,Tower Hamlets,598,2013
U5930,00BH,E09000031,Waltham Forest,536,2013
H5960,00BJ,E09000032,Wandsworth,493,2013
X5990,00BK,E09000033,Westminster,1503,2013
K5030,00AA,E09000001,City of London,48,2014
Z5060,00AB,E09000002,Barking and Dagenham,259,2014
N5090,00AC,E09000003,Barnet,1129,2014
D5120,00AD,E09000004,Bexley,334,2014
T5150,00AE,E09000005,Brent,540,2014
G5180,00AF,E09000006,Bromley,668,2014
X5210,00AG,E09000007,Camden,1146,2014
L5240,00AH,E09000008,Croydon,741,2014
A5270,00AJ,E09000009,Ealing,153,2014
Q5300,00AK,E09000010,Enfield,1041,2014
E5330,00AL,E09000011,Greenwich,625,2014
U5360,00AM,E09000012,Hackney,1073,2014
H5390,00AN,E09000013,Hammersmith and Fulham,445,2014
Y5420,00AP,E09000014,Haringey,579,2014
M5450,00AQ,E09000015,Harrow,81,2014
B5480,00AR,E09000016,Havering,558,2014
R5510,00AS,E09000017,Hillingdon,469,2014
F5540,00AT,E09000018,Hounslow,738,2014
V5570,00AU,E09000019,Islington,639,2014
K5600,00AW,E09000020,Kensington and Chelsea,1250,2014
Z5630,00AX,E09000021,Kingston upon Thames,202,2014
N5660,00AY,E09000022,Lambeth,1354,2014
C5690,00AZ,E09000023,Lewisham,594,2014
T5720,00BA,E09000024,Merton,566,2014
G5750,00BB,E09000025,Newham,903,2014
W5780,00BC,E09000026,Redbridge,284,2014
L5810,00BD,E09000027,Richmond upon Thames,426,2014
A5840,00BE,E09000028,Southwark,993,2014
P5870,00BF,E09000029,Sutton,647,2014
E5900,00BG,E09000030,Tower Hamlets,602,2014
U5930,00BH,E09000031,Waltham Forest,435,2014
H5960,00BJ,E09000032,Wandsworth,437,2014
X5990,00BK,E09000033,Westminster,836,2014
K5030,00AA,E09000001,City of London,44,2015
Z5060,00AB,E09000002,Barking and Dagenham,202,2015
N5090,00AC,E09000003,Barnet,1249,2015
D5120,00AD,E09000004,Bexley,395,2015
T5150,00AE,E09000005,Brent,405,2015
G5180,00AF,E09000006,Bromley,696,2015
X5210,00AG,E09000007,Camden,1138,2015
L5240,00AH,E09000008,Croydon,1022,2015
A5270,00AJ,E09000009,Ealing,667,2015
Q5300,00AK,E09000010,Enfield,817,2015
E5330,00AL,E09000011,Greenwich,504,2015
U5360,00AM,E09000012,Hackney,1037,2015
H5390,00AN,E09000013,Hammersmith and Fulham,267,2015
Y5420,00AP,E09000014,Haringey,852,2015
M5450,00AQ,E09000015,Harrow,97,2015
B5480,00AR,E09000016,Havering,499,2015
R5510,00AS,E09000017,Hillingdon,463,2015
F5540,00AT,E09000018,Hounslow,403,2015
V5570,00AU,E09000019,Islington,953,2015
K5600,00AW,E09000020,Kensington and Chelsea,1289,2015
Z5630,00AX,E09000021,Kingston upon Thames,180,2015
N5660,00AY,E09000022,Lambeth,1142,2015
C5690,00AZ,E09000023,Lewisham,725,2015
T5720,00BA,E09000024,Merton,510,2015
G5750,00BB,E09000025,Newham,1318,2015
W5780,00BC,E09000026,Redbridge,267,2015
L5810,00BD,E09000027,Richmond upon Thames,370,2015
A5840,00BE,E09000028,Southwark,930,2015
P5870,00BF,E09000029,Sutton,551,2015
E5900,00BG,E09000030,Tower Hamlets,666,2015
U5930,00BH,E09000031,Waltham Forest,419,2015
H5960,00BJ,E09000032,Wandsworth,263,2015
X5990,00BK,E09000033,Westminster,575,2015
